ID Number,Full Name,Course,Year Level,Gender
2020-1971,Urel Van William Bermudoz,BSCS,2,Male
2021-1971,Jean Angeles,BSCS,2,Female
2020-0001,Charlene Angeles,BSIT,3,Female
2020-0002,Jason Bob,BSCA,2,Female
2020-0003,Jean Canete,BSCA,1,Male
2020-0004,John Wick,BSIT,2,Male
2020-0005,Ashely Alidon,BSED,2,Female
2020-0006,Don Juarez,BSCS,2,Male
2020-0007,Miller Juarez,BSIT,2,Male
2020-0008,Keith Alfanta,BSIT,2,Male
2020-0009,Abigail Cruz,BSCA,3,Female
2020-0010,Chad Espiritu,BSIT,2,Male
2020-0011,Riza Anches,BTLEED,2,Female
2020-0012,Kyle Anches,BSIT,2,Male
2020-0013,Shemaiah Montilla,BSCS,2,Female
2020-0014,Riza Jumawan,BTLEED,2,Female
2020-0015,Chris Gumisad,BSCS ,2,Male
2020-0016,Aaron Calvo,BSCS ,2,Male
2020-0017,Jewel Garsuta,BSIT,2,Female
2020-0018,Malik Maulana,BSIT,3,Male
2020-0019,Sani Laguinad,BSCA,2,Male
2020-0020,Jason Alfanta,BSIT,4,Male
2020-0021,Karlo Salvatierra,BSCE,3,Male
2020-0022,Nicole Sayson,BSBA,3,Female
2020-0023,Alexis Cruz,BSIT,2,Male
2020-0024,Teward Celesio,BSIT,4,Male
2020-0025,Ralph Calamba,BSBA,2,Male
2020-0026,Mac Limpag,BSBA,2,Male
2020-0027,Ace Sausal,BSIT,4,Male
2020-0028,Jay Lord Sinculan,BSCE,1,Male
2020-0029,Grem Arsenal,BSCE,2,Female
2020-0030,Kammile Atwil,BSBA,2,Female
2020-0031,Gwyneth Taruc,BSIT,2,Female
2020-0032,Nathan Canono,BSCS,3,Male
2020-0033,Mitzi Dorato,BSCS,4,Female
2020-0034,Ralph Nicart,BSIT,2,Male
2020-0035,Lovely Crespo,BTLEED,2,Female
2020-0036,Naika Adalim,BSIT,2,Female
2020-0037,Rose Baoc,BSEED,2,Female
2020-0038,Haroun Macalisang,BSCS,4,Male
2020-0039,Jennifer Santos,BSBA,2,Female
2020-0040,Kristine Real,BSBA,4,Female
2020-0041,Mon Carlo Real,BSED,4,Male
2020-0042,Mariz Real,BSCS,2,Female
2020-0043,Jade Malaguit,BSIT,1,Male
2020-0044,Arden Bermudo,BSCS,3,Male
2020-0045,Elizabeth Samson,BSBA,2,Female
2020-0046,Dwight Samson,BSIT,3,Male
2020-0047,Riza Jane Anches,BTLEED,2,Female
2020-1888,Jean Canete,BSIT,2,Female
2020-3333,Jason Cruz,BSIT,2,Female
2020-5555,Jason Cruz,BSIT,100,Male
2021-5558,Urel Van,BSCS,5,Male
2021-5555,Test Student,BSIT,3,Male
